Code,Description
207YS0012X,Sleep Medicine
207ZP0101X,Anatomic Pathology
207ZP0102X,Anatomic Pathology & Clinical Pathology
207ZP0104X,Chemical Pathology
207ZC0008X,Clinical Informatics
207ZC0006X,Clinical Pathology
207ZP0105X,Clinical Pathology/Laboratory Medicine
207ZC0500X,Cytopathology
207ZD0900X,Dermatopathology
207ZF0201X,Forensic Pathology
207ZH0000X,Hematology
207ZI0100X,Immunopathology
207ZM0300X,Medical Microbiology
207ZP0007X,Molecular Genetic Pathology
207ZN0500X,Neuropathology
207ZP0213X,Pediatric Pathology
208000000X,Pediatrics
2080A0000X,Adolescent Medicine
2080C0008X,Child Abuse Pediatrics
2080I0007X,Clinical & Laboratory Immunology
2080P0006X,Developmental-Behavioral Pediatrics
2080H0002X,Hospice and Palliative Medicine
2080T0002X,Medical Toxicology
2080N0001X,Neonatal-Perinatal Medicine
2080P0008X,Neurodevelopmental Disabilities
2080B0002X,Obesity Medicine
2080P0201X,Pediatric Allergy/Immunology
2080P0202X,Pediatric Cardiology
2080P0203X,Pediatric Critical Care Medicine
2080P0204X,Pediatric Emergency Medicine
2080P0205X,Pediatric Endocrinology
2080P0206X,Pediatric Gastroenterology
2080P0207X,Pediatric Hematology-Oncology
2080P0208X,Pediatric Infectious Diseases
2080P0210X,Pediatric Nephrology
2080P0214X,Pediatric Pulmonology
2080P0216X,Pediatric Rheumatology
2080T0004X,Pediatric Transplant Hepatology
2080S0012X,Sleep Medicine
2080S0010X,Sports Medicine
208100000X,Physical Medicine & Rehabilitation
2081P0301X,Brain Injury Medicine
2081H0002X,Hospice and Palliative Medicine
2081N0008X,Neuromuscular Medicine
2081P2900X,Pain Medicine
2081P0010X,Pediatric Rehabilitation Medicine
2081P0004X,Spinal Cord Injury Medicine
2081S0010X,Sports Medicine
208200000X,Plastic Surgery
2082S0099X,Plastic Surgery Within the Head and Neck
2082S0105X,Surgery of the Hand
2083A0100X,Aerospace Medicine
2083C0008X,Clinical Informatics
2083T0002X,Medical Toxicology
2083B0002X,Obesity Medicine
2083X0100X,Occupational Medicine
2083P0500X,Preventive Medicine/Occupational Environmental Medicine
2083P0901X,Public Health & General Preventive Medicine
2083S0010X,Sports Medicine
2084P0301X,Brain Injury Medicine
2084A0401X,Addiction Medicine
2084P0802X,Addiction Psychiatry
2084B0040X,Behavioral Neurology & Neuropsychiatry
2084P0804X,Child & Adolescent Psychiatry
2084N0600X,Clinical Neurophysiology 
2084D0003X,Diagnostic Neuroimaging
2084F0202X,Forensic Psychiatry
2084P0805X,Geriatric Psychiatry
2084H0002X,Hospice and Palliative Medicine
2084P0005X,Neurodevelopmental Disabilities
2084N0400X,Neurology
2084N0402X,Neurology with Special Qualifications in Child Neurology 
2084N0008X,Neuromuscular Medicine
2084B0002X,Obesity Medicine
2084P2900X,Pain Medicine
2084P0800X,Psychiatry
2084P0015X,Psychosomatic Medicine
2084S0012X,Sleep Medicine
2084S0010X,Sports Medicine
2084V0102X,Vascular Neurology
2085B0100X,Body Imaging
2085D0003X,Diagnostic Neuroimaging
2085R0202X,Diagnostic Radiology
2085U0001X,Diagnostic Ultrasound 
2085H0002X,Hospice and Palliative Medicine
2085N0700X,Neuroradiology
2085N0904X,Nuclear Radiology
2085P0229X,Pediatric Radiology
2085R0001X,Radiation Oncology
2085R0205X,Radiological Physics
2085R0203X,Therapeutic Radiology
2085R0204X,Vascular & Interventional Radiology
208600000X,Surgery
2086H0002X,Hospice and Palliative Medicine
2086S0120X,Pediatric Surgery
2086S0122X,Plastic and Reconstructive Surgery
2086S0105X,Surgery of the Hand
2086S0102X,Surgical Critical Care
2086X0206X,Surgical Oncology
2086S0127X,Trauma Surgery
2086S0129X,Vascular Surgery
208800000X,Urology
2088F0040X,Female Pelvic Medicine and Reconstructive Surgery
2088P0231X,Pediatric Urology
208C00000X,Colon & Rectal Surgery
208D00000X,General Practice
208G00000X,Thoracic Surgery (Cardiothoracic Vascular Surgery)
208M00000X,Hospitalist
208VP0014X,Interventional Pain Medicine
208VP0000X,Pain Medicine
