State,City, Latitude, Longitude
AL,Clay,33.696582,-86.608166
AL,Clayhatchee,31.236925,-85.721478
AL,Clayton,31.882414,-85.460541
AL,Cleveland,34.002179,-86.561352
AL,Clio,31.708516,-85.611039
AL,Coaling,33.169901,-87.349887
AL,Coats Bend,34.077426,-85.874184
AL,Coffee Springs,31.165836,-85.910898
AL,Coffeeville,31.766564,-88.086049
AL,Coker,33.243752,-87.681329
AL,Collinsville,34.262193,-85.867868
AL,Colony,33.941185,-86.901864
AL,Columbia,31.295351,-85.110202
AL,Columbiana,33.19145,-86.615666
AL,Concord,33.461986,-87.040435
AL,Coosada,32.495394,-86.326543
AL,Cordova,33.761292,-87.201099
AL,Cottondale,33.193047,-87.454861
AL,Cottonwood,31.054033,-85.29956
AL,County Line,33.820895,-86.71973
AL,Courtland,34.669946,-87.327892
AL,Cowarts,31.206248,-85.309769
AL,Creola,30.874343,-88.009442
AL,Crossville,34.285486,-85.998756
AL,Cuba,32.440733,-88.374798
AL,Cullman,34.179337,-86.840793
AL,Cullomburg,31.713061,-88.291774
AL,Cusseta,32.787654,-85.305748
AL,Dadeville,32.826114,-85.776201
AL,Daleville,31.291397,-85.711418
AL,Daphne,30.625545,-87.895979
AL,Dauphin Island,30.250913,-88.171268
AL,Daviston,33.056839,-85.634329
AL,Dayton,32.350958,-87.641573
AL,Deatsville,32.588972,-86.388984
AL,Decatur,34.573321,-86.992135
AL,Deer Park,31.218369,-88.328023
AL,Delta,33.440524,-85.675905
AL,Demopolis,32.499938,-87.825426
AL,Detroit,34.027379,-88.167831
AL,Dodge,34.045414,-86.88267
AL,Dora,33.729703,-87.083874
AL,Dothan,31.233698,-85.406823
AL,Double Springs,34.15134,-87.403488
AL,Douglas,34.168258,-86.323386
AL,Dozier,31.505407,-86.369235
AL,Dunnavant,33.508673,-86.529843
AL,Dutton,34.606152,-85.91185
AL,East Brewton,31.09144,-87.055345
AL,East Point,34.191023,-86.791785
AL,Eclectic,32.640179,-86.041096
AL,Edgewater,33.530099,-86.95279
AL,Edwardsville,33.88374,-85.414124
AL,Egypt,34.075931,-86.165051
AL,Elba,31.417313,-86.077189
AL,Elberta,30.373689,-87.595778
AL,Eldridge,33.922018,-87.620108
AL,Elkmont,34.932604,-86.976971
AL,Elmore,32.544337,-86.336446
AL,Emelle,32.728678,-88.316486
AL,Emerald Mountain,32.447641,-86.094618
AL,Enterprise,31.326912,-85.844077
AL,Epes,32.691249,-88.126852
AL,Ethelsville,33.414066,-88.216093
AL,Eufaula,31.910041,-85.152556
AL,Eunola,31.03139,-85.833966
AL,Eutaw,32.846247,-87.900332
AL,Eva,34.326504,-86.765318
AL,Evergreen,31.442718,-86.959904
AL,Excel,31.426386,-87.343663
AL,Fairfield,33.474704,-86.919339
AL,Fairford,31.178002,-88.072784
AL,Fairhope,30.52092,-87.879122
AL,Fairview,34.24906,-86.688834
AL,Falkville,34.377019,-86.909547
AL,Faunsdale,32.457614,-87.593789
AL,Fayette,33.694215,-87.831169
AL,Fayetteville,33.168097,-86.442774
AL,Fitzpatrick,32.210373,-85.873699
AL,Five Points,33.017311,-85.351592
AL,Flomaton,31.014816,-87.256016
AL,Florala,31.022391,-86.318152
AL,Florence,34.830323,-87.666139
AL,Foley,30.397009,-87.664211
AL,Forestdale,33.574074,-86.899918
AL,Forkland,32.647435,-87.867436
AL,Fort Deposit,31.986261,-86.566359
AL,Fort Payne,34.457329,-85.689447
AL,Fort Rucker,31.342576,-85.716072
AL,Franklin,32.455269,-85.807017
AL,Fredonia,32.973565,-85.302938
AL,Frisco,31.439485,-87.404182
AL,Fruitdale,31.34979,-88.410937
AL,Fruithurst,33.729539,-85.431249
AL,Fulton,31.790989,-87.744212
AL,Fultondale,33.617648,-86.801595
AL,Fyffe,34.449615,-85.904969
AL,Gadsden,34.009563,-86.015643
AL,Gainesville,32.814934,-88.160791
AL,Gallant,34.001318,-86.230171
AL,Gantt,31.41074,-86.483524
AL,Garden,34.015971,-86.751158
AL,Gardendale,33.676587,-86.809844
AL,Gaylesville,34.268103,-85.558468
AL,Geiger,32.868715,-88.318154
AL,Geneva,31.044886,-85.876818
AL,Georgiana,31.639134,-86.746762
AL,Geraldine,34.359087,-86.002579
AL,Gilbertown,31.875791,-88.319489
AL,Glen Allen,33.892108,-87.732682
AL,Glencoe,33.939389,-85.934313
AL,Glenwood,31.671266,-86.173687
AL,Goldville,33.084867,-85.777982
AL,Good Hope,34.109835,-86.865195
AL,Goodwater,33.060835,-86.052333
AL,Gordo,33.322286,-87.903681
AL,Gordon,31.143938,-85.093249
AL,Gordonville,32.159179,-86.704235
AL,Goshen,31.720015,-86.123245
AL,Graham,33.455191,-85.323085
AL,Grand Bay,30.472082,-88.344401
AL,Grant,34.518173,-86.26043
AL,Grayson Valley,33.647038,-86.641281
AL,Graysville,33.658258,-86.96732
AL,Greensboro,32.700968,-87.5937
AL,Greenville,31.843072,-86.636951
AL,Grimes,31.299856,-85.450292
AL,Grove Hill,31.702294,-87.773845
AL,Guin,33.982923,-87.901804
AL,Gulfcrest,30.991106,-88.242231
AL,Gulf Shores,30.273981,-87.707168
AL,Guntersville,34.367947,-86.252323
AL,Gurley,34.702471,-86.37433
AL,Gu-Win,33.944319,-87.870368
AL,Hackleburg,34.269355,-87.830402
AL,Hackneyville,33.054654,-85.934423
AL,Haleburg,31.409976,-85.138068
AL,Haleyville,34.233832,-87.617574
AL,Hamilton,34.13871,-87.970837
AL,Hammondville,34.566264,-85.640252
AL,Hanceville,34.062507,-86.762524
AL,Harpersville,33.317725,-86.428431
AL,Hartford,31.105348,-85.691225
AL,Hartselle,34.440434,-86.940364
AL,Harvest,34.85507,-86.758643
AL,Hatton,34.560671,-87.413835
AL,Hayden,33.894514,-86.744224
AL,Hayneville,32.182595,-86.578588
AL,Hazel Green,34.923656,-86.567392
AL,Headland,31.354974,-85.357031
AL,Heath,31.344839,-86.46905
AL,Heflin,33.6474,-85.569339
AL,Helena,33.285635,-86.874488
AL,Henagar,34.630641,-85.730918
AL,Highland Lake,33.894586,-86.422553
AL,Highland Lakes,33.398378,-86.651296
AL,Hillsboro,34.642586,-87.178489
AL,Hissop,32.869773,-86.123622
AL,Hobson,31.488725,-88.150928
AL,Hobson,33.618801,-85.846146
AL,Hodges,34.334246,-87.92316
AL,Hokes Bluff,33.989682,-85.862873
AL,Hollins,33.121757,-86.126967
AL,Hollis Crossroads,33.531333,-85.652862
AL,Holly Pond,34.167187,-86.611799
AL,Hollywood,34.717279,-85.965579
AL,Holt,33.229745,-87.482894
AL,Holtville,32.630299,-86.328004
AL,Homewood,33.45855,-86.80965
AL,Hoover,33.376949,-86.805579
AL,Horn Hill,31.238158,-86.325104
AL,Hueytown,33.408484,-87.01658
AL,Huguley,32.842982,-85.239366
AL,Huntsville,34.699013,-86.67298
AL,Hurtsboro,32.24009,-85.41467
AL,Hytop,34.906403,-86.085258
AL,Ider,34.702161,-85.669042
AL,Indian Springs,33.361209,-86.746856
AL,Irondale,33.539847,-86.660539
AL,Ivalee,34.0372,-86.147175
AL,Jackson,31.532321,-87.891183
AL,Jacksons' Gap,32.884019,-85.815046
AL,Jacksonville,33.809108,-85.753918
AL,Jasper,33.856035,-87.270268
AL,Jemison,32.970705,-86.73307
AL,Joppa,34.29955,-86.549946
AL,Kansas,33.902808,-87.556598
AL,Kellyton,32.979188,-86.034608
AL,Kennedy,33.580891,-87.986179
AL,Killen,34.860954,-87.529346
AL,Kimberly,33.775851,-86.797082
AL,Kinsey,31.292637,-85.3354
AL,Kinston,31.219604,-86.170075
AL,Ladonia,32.459854,-85.097139
AL,La Fayette,32.899427,-85.400795
AL,Lakeview,34.391629,-85.975704
AL,Lake View,33.281696,-87.1413
AL,Lanett,32.857873,-85.207744
AL,Langston,34.545063,-86.09335
AL,Leeds,33.546826,-86.571975
AL,Leesburg,34.178627,-85.777897
AL,Leighton,34.698625,-87.529116
AL,Leroy,31.494937,-87.972782
AL,Lester,34.982751,-87.155535
AL,Level Plains,31.30707,-85.768755
AL,Lexington,34.959351,-87.37283
AL,Libertyville,31.24398,-86.46015
AL,Lincoln,33.622176,-86.070637
AL,Linden,32.301358,-87.792564
AL,Lineville,33.312832,-85.752278
AL,Lipscomb,33.426054,-86.926026
AL,Lisman,32.171729,-88.284092
AL,Littleville,34.595132,-87.670739
AL,Livingston,32.595549,-88.186929
AL,Loachapoka,32.607946,-85.598479
AL,Lockhart,31.013011,-86.350273
AL,Locust Fork,33.876794,-86.647093
AL,Lookout Mountain,34.115916,-85.965464
AL,Louisville,31.781047,-85.558336
AL,Lowndesboro,32.276422,-86.610848
AL,Loxley,30.684588,-87.739213
AL,Luverne,31.718941,-86.269082
AL,Lynn,34.057592,-87.548639
AL,McDonald Chapel,33.518576,-86.938462
AL,Macedonia,33.403139,-88.239221
AL,McIntosh,31.264957,-88.028369
AL,McKenzie,31.54647,-86.725954
AL,McMullen,33.1481,-88.175749
AL,Madison,34.710533,-86.76228
AL,Madrid,31.035771,-85.397845
AL,Magnolia Springs,30.40341,-87.775895
AL,Malcolm,31.198697,-88.001065
AL,Malvern,31.143698,-85.522973
AL,Maplesville,32.788282,-86.876651
AL,Marbury,32.684059,-86.476141
AL,Margaret,33.67284,-86.463942
AL,Marion,32.631968,-87.317333
AL,Maytown,33.549016,-86.999872
AL,Meadowbrook,33.390614,-86.708172
AL,Megargel,31.378141,-87.430649
AL,Memphis,33.137044,-88.305942
AL,Mentone,34.563191,-85.589706
AL,Meridianville,34.874913,-86.580559
AL,Midfield,33.455197,-86.922633
AL,Midland,31.315688,-85.493684
AL,Midway,32.076373,-85.524417
AL,Mignon,33.18658,-86.256886
AL,Millbrook,32.501474,-86.373914
AL,Millerville,33.191458,-85.929828
AL,Millport,33.555935,-88.082382
AL,Millry,31.621199,-88.327956
AL,Minor,33.53895,-86.940261
AL,Mobile,30.668426,-88.100226
AL,Monroeville,31.516223,-87.327714
AL,Montevallo,33.125869,-86.846924
AL,Montgomery,32.347174,-86.266114
AL,Moody,33.603426,-86.493789
AL,Moores Mill,34.852143,-86.52038
AL,Mooresville,34.626964,-86.879997
AL,Morris,33.746735,-86.804438
AL,Morrison Crossroads,33.417996,-85.488284
AL,Mosses,32.188758,-86.679435
AL,Moulton,34.488302,-87.282707
AL,Moundville,32.996542,-87.627545
AL,Mountain Brook,33.491488,-86.73447
AL,Mount Olive,33.078474,-86.133291
AL,Mount Olive,33.677474,-86.872596
AL,Mount Vernon,31.087727,-88.013166
AL,Movico,31.062763,-88.026619
AL,Mulga,33.552891,-86.973293
AL,Munford,33.529059,-85.952543
AL,Muscle Shoals,34.742657,-87.633767
AL,Myrtlewood,32.252088,-87.949261
AL,Nanafalia,32.111393,-87.995757
AL,Nances Creek,33.85465,-85.684728
AL,Napier Field,31.314917,-85.454962
AL,Natural Bridge,34.090353,-87.601409
AL,Nauvoo,33.984386,-87.48544
AL,Nectar,33.979779,-86.620614
AL,Needham,31.987,-88.336563
AL,Newbern,32.591672,-87.535614
AL,New Brockton,31.367723,-85.92518
AL,New Hope,34.537972,-86.412372
AL,New Market,34.892335,-86.425818
AL,New Site,33.026041,-85.784536
AL,Newton,31.341229,-85.588307
AL,New Union,34.133682,-86.228002
AL,Newville,31.420604,-85.33669
AL,North Courtland,34.680046,-87.305721
AL,North Johns,33.368055,-87.100888
AL,Northport,33.257718,-87.596388
AL,Notasulga,32.555409,-85.668577
AL,Oak Grove,33.190359,-86.303727
AL,Oak Hill,31.92162,-87.085234
AL,Oakman,33.714322,-87.388699
AL,Odenville,33.700875,-86.423371
AL,Ohatchee,33.789764,-86.029055
AL,Oneonta,33.947082,-86.48951
AL,Onycha,31.225693,-86.276024
AL,Opelika,32.660739,-85.37889
AL,Opp,31.284375,-86.257442
AL,Orange Beach,30.293811,-87.58596
AL,Orrville,32.306769,-87.245447
AL,Our,32.842211,-85.967035
AL,Owens Cross Roads,34.585458,-86.455027
AL,Oxford,33.598433,-85.872336
AL,Ozark,31.451615,-85.645035
AL,Paint Rock,34.660934,-86.333952
AL,Panola,32.946819,-88.262264
AL,Parrish,33.732321,-87.280127
AL,Pelham,33.32183,-86.742197
AL,Pell,33.560776,-86.26879
AL,Pennington,32.20696,-88.055777
AL,Penton,33.009832,-85.474824
AL,Perdido Beach,30.353879,-87.504788
AL,Peterman,31.583669,-87.263042
AL,Petrey,31.85216,-86.204007
AL,Phenix,32.461669,-85.025021
AL,Phil Campbell,34.351539,-87.706319
AL,Pickensville,33.235782,-88.289443
AL,Piedmont,33.926035,-85.615442
AL,Pike Road,32.311887,-86.033007
AL,Pinckard,31.318989,-85.537836
AL,Pine Apple,31.872155,-86.989059
AL,Pine Hill,31.985884,-87.587516
AL,Pine Level,32.579542,-86.454318
AL,Pine Ridge,34.44795,-85.784018
AL,Pinson,33.703291,-86.669741
AL,Pisgah,34.684366,-85.84601
AL,Pleasant Grove,33.493605,-86.978206
AL,Pleasant Groves,34.737619,-86.197637
AL,Point Clear,30.494676,-87.909991
AL,Pollard,31.023877,-87.172978
AL,Powell,34.532534,-85.897879
AL,Prattville,32.461908,-86.457385
AL,Priceville,34.524483,-86.881676
AL,Prichard,30.773337,-88.131418
AL,Providence,32.342386,-87.776115
AL,Putnam,32.018084,-88.033057
AL,Ragland,33.748325,-86.135927
AL,Rainbow,33.928777,-86.084228
AL,Rainsville,34.494364,-85.836505
AL,Ranburne,33.525853,-85.339013
AL,Ray,32.88923,-86.024612
AL,Red Bay,34.436097,-88.136515
AL,Redland,32.481426,-86.143759
AL,Red Level,31.406711,-86.606217
AL,Redstone Arsenal,34.687763,-86.661268
AL,Reece,34.077307,-86.034461
AL,Reeltown,32.574211,-85.819562
AL,Reform,33.378214,-88.017297
AL,Rehobeth,31.124507,-85.439607
AL,Repton,31.409716,-87.238931
AL,Ridgeville,34.056929,-86.102874
AL,River Falls,31.352397,-86.544609
AL,Riverside,33.616394,-86.204357
AL,Riverview,31.061141,-87.077421
AL,Roanoke,33.145305,-85.369526
AL,Robertsdale,30.557139,-87.704723
AL,Rock Creek,33.477227,-87.081249
AL,Rockford,32.896866,-86.208345
AL,Rock Mills,33.15994,-85.28107
AL,Rockville,31.405776,-87.844212
AL,Rogersville,34.827714,-87.284092
AL,Rosa,33.992756,-86.500325
AL,Russellville,34.505737,-87.728192
AL,Rutledge,31.724072,-86.302008
AL,St. Florian,34.86698,-87.623535
AL,St. Stephens,31.571111,-88.052834
AL,Saks,33.711401,-85.853698
AL,Samson,31.112417,-86.046735
AL,Sand Rock,34.2302,-85.771561
AL,Sanford,31.29882,-86.398859
AL,Saraland,30.834851,-88.101054
AL,Sardis,34.172413,-86.119104
AL,Satsuma,30.857874,-88.063383
AL,Scottsboro,34.644641,-86.048205
AL,Section,34.581644,-85.984942
AL,Selma,32.41702,-87.035792
AL,Selmont-West Selmont,32.378249,-87.006898
AL,Semmes,30.758739,-88.223075
AL,Sheffield,34.755494,-87.701265
AL,Shelby,33.106882,-86.585403
AL,Shiloh,34.463763,-85.877994
AL,Shoal Creek,33.430763,-86.610925
AL,Shorter,32.411509,-85.972756
AL,Silas,31.767802,-88.325923
AL,Silverhill,30.544644,-87.749201
AL,Sims Chapel,31.249255,-88.142971
AL,Sipsey,33.822119,-87.082918
AL,Skyline,34.798524,-86.12243
AL,Slocomb,31.112122,-85.598663
AL,Smiths Station,32.534662,-85.111341
AL,Smoke Rise,33.879942,-86.824683
AL,Snead,34.119476,-86.389223
AL,Somerville,34.467006,-86.795843
AL,Southside,33.890841,-86.01802
AL,South Vinemont,34.233907,-86.866026
AL,Spanish Fort,30.722714,-87.865845
AL,Spring Garden,33.972965,-85.555756
AL,Springville,33.74472,-86.488817
AL,Spruce Pine,34.39287,-87.729597
AL,Standing Rock,33.08569,-85.239849
AL,Steele,33.941378,-86.192107
AL,Sterrett,33.442198,-86.461045
AL,Stevenson,34.876797,-85.81435
AL,Stewartville,33.075532,-86.260693
AL,Sulligent,33.891189,-88.126633
AL,Sumiton,33.749269,-87.046903
AL,Summerdale,30.476741,-87.687561
AL,Susan Moore,34.091999,-86.434156
AL,Sweet Water,32.104903,-87.861185
AL,Sylacauga,33.177974,-86.260238
AL,Sylvania,34.562043,-85.80472
AL,Sylvan Springs,33.528628,-87.031206
AL,Talladega,33.431757,-86.099454
AL,Talladega Springs,33.120452,-86.437761
AL,Tallassee,32.532665,-85.891993
AL,Tarrant,33.596495,-86.762522
AL,Taylor,31.168757,-85.475808
AL,Theodore,30.538686,-88.187573
AL,Thomaston,32.268277,-87.623706
AL,Thomasville,31.911088,-87.741856
AL,Thorsby,32.918209,-86.719603
AL,Tibbie,31.370471,-88.24386
AL,Tidmore Bend,34.03249,-85.925319
AL,Tillmans Corner,30.581533,-88.21278
AL,Town Creek,34.671301,-87.407763
AL,Toxey,31.910712,-88.309146
AL,Trafford,33.819484,-86.746572
AL,Triana,34.592663,-86.742875
AL,Trinity,34.597263,-87.083806
AL,Troy,31.80196,-85.96713
AL,Trussville,33.655407,-86.563109
AL,Tuscaloosa,33.234404,-87.5283
AL,Tuscumbia,34.718502,-87.702586
AL,Tuskegee,32.418209,-85.673314
AL,Twin,33.992314,-87.852295
AL,Underwood-Petersville,34.876112,-87.698157
AL,Union,32.99381,-87.907179
AL,Union Grove,34.406172,-86.451667
AL,Union Springs,32.139506,-85.714623
AL,Uniontown,32.446719,-87.48738
AL,Uriah,31.307365,-87.499213
AL,Valley,32.828953,-85.169386
AL,Valley Grande,32.486872,-87.032773
AL,Valley Head,34.556171,-85.622882
AL,Vance,33.173992,-87.226627
AL,Vandiver,33.458856,-86.529222
AL,Vernon,33.758859,-88.114379
AL,Vestavia Hills,33.462496,-86.739508
AL,Vina,34.376175,-88.060572
AL,Vincent,33.383145,-86.402544
AL,Vinegar Bend,31.259093,-88.367264
AL,Vredenburgh,31.823234,-87.318077
AL,Wadley,33.1234,-85.568592
AL,Waldo,33.387083,-86.041075
AL,Walnut Grove,34.064595,-86.28717
AL,Warrior,33.815214,-86.815273
AL,Waterloo,34.917199,-88.064373
AL,Waverly,32.730078,-85.570999
AL,Weaver,33.761854,-85.810191
AL,Webb,31.257252,-85.289817
AL,Wedowee,33.308004,-85.4865
AL,Weogufka,33.032235,-86.323775
AL,West Blocton,33.118176,-87.125225
AL,West End-Cobb,33.651453,-85.876528
AL,West Jefferson,33.648529,-87.068
AL,Westover,33.378305,-86.536849
AL,West Point,34.23873,-86.964075
AL,Wetumpka,32.540376,-86.206999
AL,Whatley,31.646343,-87.710836
AL,White Hall,32.297411,-86.715776
AL,White Plains,33.759312,-85.68847
AL,Whitesboro,34.169004,-86.058499
AL,Wilsonville,33.240752,-86.491105
AL,Wilton,33.081565,-86.879655
AL,Winfield,33.931561,-87.791874
AL,Woodland,33.375627,-85.397439
AL,Woodstock,33.217312,-87.14841
AL,Woodville,34.629576,-86.283461
AL,Yellow Bluff,31.962139,-87.48072
AL,York,32.500609,-88.291401
AK,Adak,51.840182,-176.566001
AK,Akhiok,56.948856,-154.215556
AK,Akiachak,60.916162,-161.404695
AK,Akiak,60.909982,-161.216376
AK,Akutan,54.140014,-165.762992
AK,Alakanuk,62.71116,-164.644712
AK,Alatna,66.563929,-152.838002
AK,Alcan Border,62.695606,-141.182741
AK,Aleknagik,59.288961,-158.664343
AK,Aleneva,58.059045,-152.909008
AK,Allakaket,66.560261,-152.644967
AK,Ambler,67.100657,-157.847803
AK,Anaktuvuk Pass,68.154932,-151.705201
AK,Anchorage,61.17425,-149.284329
AK,Anchor Point,59.747364,-151.695697
AK,Anderson,64.308281,-149.163187
AK,Angoon,57.440851,-134.478015
AK,Aniak,61.578035,-159.528754
AK,Anvik,62.630995,-160.213725
AK,Arctic,68.16542,-145.401329
AK,Atka,52.213091,-174.215643
AK,Atmautluak,60.861522,-162.279808
AK,Atqasuk,70.480786,-157.325459
AK,Attu Station,52.880248,173.256076
AK,Badger,64.800081,-147.385129
AK,Barrow,71.2535,-156.800072
AK,Bear Creek,60.208055,-149.369783
AK,Beaver,66.390584,-147.337916
AK,Beluga,61.191031,-151.184378
AK,Bethel,60.792998,-161.793477
AK,Bettles,66.906318,-151.537737
AK,Big Delta,64.156648,-145.740922
AK,Big Lake,61.529768,-149.980916
AK,Birch Creek,66.266519,-145.87382
AK,Brevig Mission,65.34392,-166.508493
AK,Buckland,65.975886,-161.138732
AK,Buffalo Soapstone,61.685152,-149.120215
AK,Butte,61.533727,-148.987706
AK,Cantwell,63.411396,-148.749622
AK,Central,65.48009,-144.478091
AK,Chalkyitsik,66.646856,-143.788895
AK,Chase,62.418236,-149.936172
AK,Chefornak,60.15122,-164.251364
AK,Chena Ridge,64.799021,-148.023779
AK,Chenega,60.091902,-147.994693
AK,Chevak,61.531066,-165.597199
AK,Chickaloon,61.815261,-148.291983
AK,Chicken,64.087658,-141.82813
AK,Chignik,56.294355,-158.395644
AK,Chignik Lagoon,56.304623,-158.49851
AK,Chignik Lake,56.271969,-158.789108
AK,Chiniak,57.574806,-152.283288
AK,Chisana,62.110484,-142.048641
AK,Chistochina,62.596444,-144.941045
AK,Chitina,61.551904,-144.175849
AK,Chuathbaluk,61.575539,-159.24707
AK,Circle,65.838581,-144.17543
AK,Clam Gulch,60.208902,-151.404202
AK,Clark's Point,58.833381,-158.528799
AK,Coffman Cove,56.001751,-132.841933
AK,Cohoe,60.266971,-151.298172
AK,Cold Bay,55.21579,-162.775829
AK,Coldfoot,67.247451,-150.108051
AK,College,64.870065,-147.807221
AK,Cooper Landing,60.496223,-149.824072
AK,Copper Center,61.984549,-145.354342
AK,Cordova,60.530138,-145.642065
AK,Covenant Life,59.397505,-136.123002
AK,Craig,55.488233,-133.111069
AK,Crooked Creek,61.796853,-158.081066
AK,Crown Point,60.426679,-149.35298
AK,Deering,66.069313,-162.76861
AK,Delta Junction,64.060263,-145.693529
AK,Deltana,63.789386,-145.351621
AK,Diamond Ridge,59.708319,-151.545304
AK,Dillingham,58.980556,-158.467569
AK,Diomede,65.753769,-168.923151
AK,Dot Lake,63.586914,-144.293082
AK,Dot Lake,63.662262,-144.016014
AK,Dry Creek,63.626638,-144.639194
AK,Eagle,64.780117,-141.19332
AK,Eagle,64.743383,-141.113825
AK,Edna Bay,55.971212,-133.695861
AK,Eek,60.21424,-162.030362
AK,Egegik,58.205148,-157.521978
AK,Eielson AFB,64.664101,-147.036297
AK,Ekwok,59.345664,-157.488006
AK,Elfin Cove,58.191175,-136.312524
AK,Elim,64.618385,-162.273386
AK,Emmonak,62.785183,-164.566301
AK,Ester,64.879056,-148.041153
AK,Eureka Roadhouse,61.958507,-147.155104
AK,Evansville,66.932973,-151.368929
AK,Excursion Inlet,58.414676,-135.345524
AK,Fairbanks,64.836531,-147.651745
AK,False Pass,54.872441,-163.334268
AK,Farmers Loop,64.908224,-147.698661
AK,Farm Loop,61.638456,-149.134043
AK,Ferry,64.04962,-148.920602
AK,Fishhook,61.73123,-149.283619
AK,Flat,62.441367,-158.040533
AK,Fort Greely,63.899565,-145.595225
AK,Fort Yukon,66.587608,-145.229192
AK,Four Mile Road,64.604233,-149.115264
AK,Fox,64.975054,-147.608837
AK,Fox River,59.894505,-151.007044
AK,Fritz Creek,59.746871,-151.288599
AK,Funny River,60.484437,-150.789658
AK,Gakona,62.360782,-145.265669
AK,Galena,64.729425,-156.872967
AK,Gambell,63.777201,-171.72571
AK,Game Creek,58.050105,-135.512547
AK,Gateway,61.566573,-149.223038
AK,Glacier View,61.848015,-147.772538
AK,Glennallen,62.147313,-145.83616
AK,Goldstream,64.951999,-147.970602
AK,Golovin,64.563667,-163.001003
AK,Goodnews Bay,59.128713,-161.575656
AK,Grayling,62.896043,-160.112961
AK,Gulkana,62.215183,-145.444886
AK,Gustavus,58.434464,-135.728243
AK,Haines,59.260527,-135.472262
AK,Halibut Cove,59.569581,-151.223764
AK,Happy Valley,59.910444,-151.608179
AK,Harding-Birch Lakes,64.384531,-146.553715
AK,Healy,63.959632,-148.970842
